epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,396.397,1.26152,1.50822,0.78798,1.07378,0.61418,0.58877,0.56441,0.19202,0.62875,0.58904,0.62026,0.23505,2.3021,2.22575,1.362,1.94849,0.00167,0.00167,0.00167
52,404.511,1.2401,1.49677,0.76487,1.07209,0.6093,0.60274,0.60028,0.21337,0.62313,0.60274,0.62857,0.25525,2.30312,2.12587,1.32077,1.9754,0.0016634,0.0016634,0.0016634
53,413.589,1.2298,1.45182,0.76891,1.0728,0.52749,0.621,0.57961,0.20189,0.75029,0.51598,0.60083,0.23509,2.28487,2.27033,1.40437,1.95923,0.0016568,0.0016568,0.0016568
54,422.474,1.21435,1.47813,0.75559,1.0595,0.64948,0.47945,0.51252,0.18671,0.6689,0.48892,0.56058,0.20642,2.27511,2.50274,1.52148,1.92015,0.0016502,0.0016502,0.0016502
55,431.404,1.21773,1.4639,0.76204,1.06744,0.59097,0.56621,0.57708,0.21956,0.67475,0.53881,0.61735,0.23086,2.18274,2.15309,1.38012,1.93081,0.0016436,0.0016436,0.0016436
56,439.451,1.21873,1.44955,0.76312,1.05921,0.73117,0.52055,0.57561,0.20825,0.75606,0.52511,0.60977,0.24352,2.26428,2.20654,1.30062,1.9942,0.001637,0.001637,0.001637
57,447.076,1.22155,1.48418,0.75476,1.04826,0.56818,0.54795,0.5468,0.20159,0.57335,0.55251,0.58278,0.23259,2.299,2.32166,1.30831,1.98573,0.0016304,0.0016304,0.0016304
58,454.812,1.19125,1.43079,0.72966,1.04147,0.622,0.53425,0.57633,0.20123,0.63635,0.54338,0.6159,0.23309,2.32809,2.26983,1.34202,2.00282,0.0016238,0.0016238,0.0016238
59,462.655,1.18976,1.43439,0.72712,1.05105,0.58197,0.61028,0.578,0.20871,0.71387,0.55822,0.62276,0.2397,2.33043,2.26341,1.30786,2.05868,0.0016172,0.0016172,0.0016172
60,470.968,1.17275,1.39038,0.72467,1.03721,0.62085,0.58904,0.5822,0.23009,0.71905,0.55251,0.63703,0.24615,2.18893,2.16454,1.26721,1.96465,0.0016106,0.0016106,0.0016106
61,479.111,1.16881,1.42993,0.72139,1.02897,0.69098,0.50685,0.5876,0.20458,0.5637,0.58406,0.56338,0.21593,2.31069,2.38002,1.38478,2.09468,0.001604,0.001604,0.001604
