epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,438.503,1.16808,1.39979,0.72012,1.03408,0.66939,0.621,0.64974,0.23518,0.67903,0.61644,0.66492,0.2619,2.21021,2.13767,1.21159,1.95574,0.00101,0.00101,0.00101
52,446.13,1.14311,1.40083,0.69876,1.02799,0.64132,0.58447,0.62265,0.2353,0.6814,0.621,0.68858,0.27773,2.24175,2.11221,1.25544,1.9634,0.0009902,0.0009902,0.0009902
53,453.852,1.12604,1.36468,0.68908,1.01914,0.66677,0.59361,0.62234,0.23724,0.67998,0.63066,0.66048,0.27564,2.24995,2.08072,1.26725,1.97143,0.0009704,0.0009704,0.0009704
54,461.478,1.13134,1.39747,0.68833,1.02248,0.61999,0.58904,0.61463,0.23123,0.68192,0.53881,0.62281,0.23122,2.33871,2.3513,1.25897,2.0852,0.0009506,0.0009506,0.0009506
55,469.033,1.13119,1.36834,0.68389,1.0213,0.73017,0.52968,0.61079,0.23582,0.6367,0.59361,0.61663,0.24988,2.2036,2.1896,1.24741,1.93552,0.0009308,0.0009308,0.0009308
56,476.653,1.11244,1.33774,0.67338,1.00556,0.6106,0.59361,0.57056,0.20215,0.63754,0.57078,0.6057,0.22851,2.3429,2.33896,1.29223,2.08821,0.000911,0.000911,0.000911
57,484.18,1.12352,1.36923,0.68761,1.01408,0.64568,0.60274,0.55992,0.20257,0.66795,0.59817,0.60171,0.23948,2.33209,2.23582,1.28391,2.08738,0.0008912,0.0008912,0.0008912
58,491.866,1.10045,1.34084,0.66338,1.00333,0.62074,0.59361,0.59341,0.21434,0.5997,0.5883,0.59979,0.24497,2.30185,2.27709,1.25191,2.04166,0.0008714,0.0008714,0.0008714
59,499.434,1.0881,1.34842,0.65971,1.00197,0.6642,0.57078,0.62395,0.22184,0.63125,0.61187,0.64523,0.25212,2.27995,2.25722,1.31673,1.98025,0.0008516,0.0008516,0.0008516
60,507.092,1.07345,1.30808,0.65308,0.99233,0.70277,0.57078,0.61821,0.21765,0.65103,0.57928,0.64997,0.24577,2.27483,2.26601,1.26933,2.02269,0.0008318,0.0008318,0.0008318
61,514.813,1.08292,1.33249,0.65211,0.99375,0.71701,0.57991,0.6239,0.20951,0.71236,0.56542,0.62968,0.23801,2.34116,2.17914,1.23298,2.05935,0.000812,0.000812,0.000812
62,522.467,1.05173,1.3194,0.63309,0.98307,0.66993,0.61187,0.62267,0.2129,0.64664,0.59817,0.63056,0.24829,2.29523,2.37958,1.25824,2.04733,0.0007922,0.0007922,0.0007922
63,530.001,1.07207,1.29743,0.64724,0.99856,0.63898,0.5334,0.58552,0.21403,0.6363,0.52726,0.57924,0.22793,2.30659,2.38109,1.32368,2.00963,0.0007724,0.0007724,0.0007724
64,537.646,1.04451,1.3002,0.62852,0.97881,0.59486,0.57078,0.57783,0.21702,0.70665,0.48397,0.58997,0.22208,2.2813,2.52649,1.32646,2.01526,0.0007526,0.0007526,0.0007526
